153, 187
154, 207
155, 228
157, 248
163, 266
172, 281
183, 296
199, 309
219, 312
242, 310
262, 300
280, 285
295, 267
303, 246
306, 223
309, 201
311, 177
157, 180
163, 167
175, 162
190, 163
205, 167
225, 165
242, 159
260, 157
277, 162
289, 173
214, 179
212, 193
211, 208
209, 223
200, 234
206, 237
213, 239
222, 236
230, 234
173, 186
180, 178
191, 178
201, 185
191, 188
180, 190
238, 181
248, 173
260, 172
269, 180
260, 184
249, 184
189, 261
199, 258
209, 256
216, 257
225, 255
238, 256
252, 256
238, 265
226, 269
217, 271
209, 270
199, 267
195, 261
209, 260
216, 260
225, 259
247, 256
226, 261
216, 262
209, 262
250, 0
0, 380
499, 0
250, 758
0, 0
499, 379
